StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48327	2017070512	12	0.7	22.5	1.8	7
48327	2017070612	12	0	11.3	1.5	13.8
48327	2017070812	12	0	24.1	0.7	2.7
48327	2017070912	12	0.7	25.6	0.5	10.6
48327	2017071012	12	7.2	26.8	0.4	13.5
48327	2017071112	12	7.3	19.7	9	8.5
48327	2017071212	12	0.4	44.1	4.1	23.6
48327	2017071312	12	1.6	16.3	0.5	28.5
48327	2017071412	12	0	17.3	0.4	12
48327	2017071512	12	0.4	19.2	1.3	12.3
48327	2017071712	12	20	25	0	6.8
48327	2017072012	12	0.4	12.9	7.5	2.1
48327	2017072112	12	4.4	18.5	4.9	6.8
48327	2017072212	12	4.7	46.5	8.1	35
48327	2017072412	12	0.3	31.7	3	9
48327	2017072512	12	0.2	11.5	6.2	4.9
48327	2017072612	12	25.8	32.5	6.1	14.6
48327	2017072712	12	3	30.5	6.6	27.5
48327	2017072812	12	0	7.9	17.1	10.5
48327	2017072912	12	0	12	0.1	3.1
48327	2017073012	12	0	2.6	0	1.8
48327	2017073112	12	0	8.3	0	7.8
48327	2017080112	12	0	4.8	0	1.4
48327	2017080212	12	0	4.8	0	0.7
48327	2017080312	12	0	11.4	2.8	8.1
48327	2017080412	12	0	29	5.8	3.1
48327	2017080512	12	0	31	7.5	23.8
48327	2017080612	12	2	24.5	2.2	19.5
48327	2017080712	12	40	21.5	0.1	7.1
48327	2017080812	12	2	7.5	0.5	5.9
48327	2017080912	12	0.2	22.8	1.8	3
48327	2017081012	12	0.8	13.4	0	1.1
48327	2017081112	12	0.4	19	0	1.6
48327	2017081212	12	0	13.5	0	3.2
48327	2017081312	12	0	14.4	0	0.5
48327	2017081412	12	0	26.8	0	4
48327	2017081512	12	18	41.3	0	14.2
48327	2017081612	12	24	6.1	6.8	23.5
48327	2017081712	12	0	11.5	0	19.6
48327	2017081812	12	6	8.5	8.6	10.8
48327	2017081912	12	10	5.2	0	3.6
48327	2017082012	12	20.8	9.8	0.1	5.9
48327	2017082112	12	8.2	19.3	15.3	7.6
48327	2017082312	12	0	0.3	0	2.2
48327	2017082412	12	4	0.1	0	1
48327	2017082512	12	22	15.9	1.2	6
48327	2017082612	12	8	12.4	8.3	18
48327	2017082712	12	11	11	0.6	16
48327	2017082812	12	0	33.7	0.6	7.3
48327	2017082912	12	0.1	8	0	7.8
48327	2017083012	12	9.9	33.7	13.7	25
48327	2017083112	12	0	26.8	5.2	12.4
48327	2017090112	12	26	15.5	0	20.9
48327	2017090212	12	0	8.8	0	11.5
48327	2017090312	12	0	5.2	0	1.9
48327	2017090412	12	0	4.7	0	4
48327	2017090512	12	8.2	10.9	0	8.4
48327	2017090612	12	13.3	37.5	8.3	12.8
48327	2017090712	12	38	16	0	18
48327	2017090812	12	4	24.4	0.1	11.6
48327	2017090912	12	0.3	39.5	0	9.3
48327	2017091012	12	0.4	27	0	4.5
48327	2017091112	12	0.2	29.2	0	2.7
48327	2017091212	12	0	35.6	0	15
48327	2017091312	12	14	0.9	0	6.4
48327	2017091412	12	0	8.4	0	8.3
48327	2017091512	12	0	10.8	0	7.6
48327	2017091612	12	11.6	6	6	7.6
48327	2017091712	12	9.8	25.8	6.3	21.1
48327	2017091812	12	10.2	4	2.8	2.2
48327	2017091912	12	0	2	0	1.3
48327	2017092012	12	0	2.5	0	1.6
48327	2017092112	12	0	0	0	10.1
48327	2017092212	12	0	8.2	0	11.2
48327	2017092312	12	0	9	0	5
48327	2017092512	12	0	7.7	0	8.6
48327	2017092912	12	3.1	4.6	0	4
48327	2017100112	12	0	11.8	0	9.7
48327	2017100212	12	0	5.9	0	7.9
48327	2017100312	12	13	6.7	0	11.9
48327	2017100412	12	10	9.1	0	8.1
48327	2017100612	12	30.1	11.9	0	5.4
48327	2017100712	12	0	10.2	0.6	5.2
48327	2017100812	12	2.6	11.1	0.6	16.7
48327	2017101012	12	0	13.6	2.5	7.1
48327	2017101212	12	3.2	30.1	0	8.2
48327	2017101312	12	0	12.7	0.2	4.5
48327	2017101412	12	0	2.3	0	3.6
48327	2017101512	12	8.2	0.8	0	6.2
48327	2017101612	12	0.5	1.2	0	4.4
48327	2017101712	12	9.5	18.9	4.6	19.9
48327	2017101812	12	7.2	5.6	0.4	3.6
48327	2017101912	12	0	1	0.1	1.3
48327	2017102012	12	23	1.4	0	1.1
48327	2017102112	12	0	1.1	0	2.4
48327	2017102212	12	0	2.7	0	1
48327	2017102312	12	0	3.7	0	11.9
48327	2017102412	12	4	7.4	2.7	26.4
48327	2017102512	12	3	0.1	0	3.5
48327	2017102612	12	0	0	0	0.8
48327	2017102712	12	9	0	0	0.5
48327	2017102812	12	0	0	0	0.9
48327	2017102912	12	0	0	0.2	4.8
48327	2017103012	12	0	0.1	0.2	0.7
48327	2017103112	12	0	0.1	0	0
48327	2017110112	12	0	0	0	0
48327	2017110212	12	0	0	0	0.6
48327	2017110312	12	0	0	0	0
48327	2017110412	12	0	0	0	0
48327	2017110512	12	0	0	0	0
48327	2017110612	12	0	1.1	0	6
48327	2017110712	12	0.2	0.1	0	0.1
48327	2017110912	12	0	0.6	1.2	0
48327	2017111012	12	0	3.2	0	0.1
48327	2017111112	12	0	3.3	0.1	0.2
48327	2017111212	12	9	1.7	0	1.2
48327	2017111312	12	0	0.6	0	0.7
48327	2017111412	12	0	1.9	0	0.4
48327	2017111512	12	0	0.1	0	1.1
48327	2017111612	12	7	0	1.3	0.3
48327	2017111712	12	0	0	0	0.2
48327	2017111812	12	0	0.3	0	0
48327	2017111912	12	0	0.4	0	1
48327	2017112012	12	0	0.9	0	0.4
48327	2017112112	12	2	0.2	0	0.8
48327	2017112212	12	0	4.2	0.7	1.3
48327	2017112312	12	0	3.6	5.9	10.5
48327	2017112412	12	1	3.2	4.2	4.2
48327	2017112512	12	0	0	0	0.4
48327	2017112612	12	0	0	0	0
48327	2017112712	12	0	0	0	0
48327	2017112812	12	0	0	0	0
48327	2017113012	12	0	0	0	0
48327	2017120112	12	0	0	0	0.2
48327	2017120212	12	0	0	0	0
48327	2017120312	12	0	0	0	0
48327	2017120412	12	0	0	0	0
48327	2017120512	12	0	0	0	0
48327	2017120612	12	0	0	0	0
48327	2017120712	12	0	0	0	0
48327	2017120812	12	0	0	0	0.2
48327	2017120912	12	0	0	1.1	8.6
48327	2017121012	12	0	0.7	0	1.8
48327	2017121112	12	0	0.6	0	1.4
48327	2017121212	12	0	0.7	0	1.8
48327	2017121312	12	0	0.2	0	1.4
48327	2017121412	12	0	0.1	0	0
48327	2017121512	12	0	0	0	0.7
48327	2017121612	12	0	0	0	0
48327	2017121812	12	0	0	0	0
48327	2017122012	12	0	0	0	0
48327	2017122112	12	0	0	0	0
48327	2017122212	12	0	0	0	0
48327	2017122312	12	0	0	0	0
48327	2017122412	12	0	0	0	0
48327	2017122512	12	0	0	0	0
48327	2017122612	12	0	0	0	0
48327	2017122712	12	9.7	5.3	10.9	3.9
48327	2017122812	12	10	4.1	2.2	28.2
48327	2017122912	12	1	0.1	0	0.6
48327	2017123112	12	0	0	0	0.5
48455	2017070512	12	0	2.5	4	2.8
48455	2017070612	12	43	0	2.6	0.8
48455	2017070712	12	8	8.9	3.9	6.5
48455	2017070812	12	13	6.6	9	12.6
48455	2017070912	12	0	2.5	5.1	8.1
48455	2017071012	12	11.1	13.2	7.8	5.8
48455	2017071112	12	0	15.4	3.1	5.8
48455	2017071212	12	61	15.6	1.8	9.4
48455	2017071312	12	9	19.4	13.2	12.7
48455	2017071412	12	0	13.3	0.9	5.4
48455	2017071512	12	0	6.7	45.8	6.9
48455	2017071712	12	0.6	14	21.1	7.3
48455	2017071812	12	0	8.9	19.3	2.9
48455	2017072012	12	22.5	8.3	2.4	3.9
48455	2017072212	12	0	11.4	4.9	16.7
48455	2017072412	12	89.4	18.2	3.4	7.7
