STATION_ID,TIME,WSP_OBS,HOUR_FCST,ECM_IS,HARMONIE,HIRLAM5
5544,01/09/2014 03:00,7.9,33,,8.8,9.6
5544,01/09/2014 09:00,13.8,33,9.9,13.6,12.3
5544,01/09/2014 15:00,11.1,33,,14.4,10.7
5544,01/09/2014 21:00,11.9,33,7.4,13.6,11.1
5544,02/09/2014 03:00,11.2,33,,11.9,10.2
5544,02/09/2014 09:00,6.1,33,6.2,10.9,8.1
5544,02/09/2014 15:00,7.8,33,,10.0,7.6
5544,02/09/2014 21:00,0.4,33,1.7,2.7,0.6
5544,03/09/2014 03:00,3.7,33,,9.9,11.7
5544,03/09/2014 09:00,0.7,33,1.7,2.2,1.2
5544,03/09/2014 15:00,5.3,33,,10.5,6.0
5544,03/09/2014 21:00,0.8,33,2.3,4.1,3.8
5544,04/09/2014 03:00,2.0,33,,1.0,1.8
5544,04/09/2014 09:00,2.0,33,3.9,7.3,5.9
5544,04/09/2014 15:00,6.0,33,,7.9,5.0
5544,04/09/2014 21:00,3.8,33,2.4,2.4,3.0
5544,05/09/2014 03:00,3.7,33,,1.9,1.6
5544,05/09/2014 09:00,1.7,33,1.5,1.0,1.1
5544,05/09/2014 15:00,2.9,33,,2.1,1.8
5544,05/09/2014 21:00,0.2,33,0.4,1.6,0.4
5544,06/09/2014 03:00,2.1,33,,0.7,1.6
5544,06/09/2014 09:00,1.1,33,0.7,1.0,0.1
5544,06/09/2014 15:00,2.5,33,,0.4,1.8
5544,06/09/2014 21:00,3.1,33,0.6,0.2,1.2
5544,07/09/2014 03:00,2.7,33,,0.9,0.8
5544,07/09/2014 09:00,0.9,33,0.2,1.7,0.2
5544,07/09/2014 15:00,4.2,33,,2.4,1.7
5544,07/09/2014 21:00,1.1,33,2.6,3.3,1.4
5544,08/09/2014 03:00,2.2,33,,2.3,2.6
5544,08/09/2014 09:00,1.4,33,1.7,0.6,2.2
5544,08/09/2014 15:00,5.7,33,,7.8,6.1
5544,08/09/2014 21:00,4.4,33,5.1,4.9,4.8
5544,09/09/2014 03:00,6.0,33,,7.8,5.2
5544,09/09/2014 09:00,4.6,33,5.1,5.5,4.2
5544,09/09/2014 15:00,8.1,33,,9.7,10.7
5544,09/09/2014 21:00,10.1,33,4.7,11.2,9.0
5544,10/09/2014 03:00,2.8,33,,5.7,4.5
5544,10/09/2014 09:00,4.8,33,9.0,3.8,6.3
5544,10/09/2014 15:00,3.3,33,,11.3,8.6
5544,10/09/2014 21:00,8.3,33,3.4,7.9,7.0
5544,11/09/2014 03:00,2.3,33,,5.6,5.1
5544,11/09/2014 09:00,2.5,33,2.1,3.0,4.3
5544,11/09/2014 15:00,12.4,33,,10.5,9.1
5544,11/09/2014 21:00,10.4,33,6.5,12.7,9.1
5544,12/09/2014 03:00,4.2,33,,10.7,8.8
5544,12/09/2014 09:00,4.4,33,8.5,7.8,9.3
5544,12/09/2014 15:00,10.3,33,,11.8,9.6
5544,12/09/2014 21:00,2.1,33,5.8,6.6,8.8
5544,13/09/2014 03:00,0.5,33,,7.6,8.8
5544,13/09/2014 09:00,1.9,33,1.7,3.8,5.0
5544,13/09/2014 15:00,1.8,33,,2.3,3.1
5544,13/09/2014 21:00,2.3,33,3.5,6.1,2.7
5544,14/09/2014 03:00,1.8,33,,1.9,3.1
5544,14/09/2014 09:00,3.7,33,2.6,2.2,1.2
5544,14/09/2014 15:00,1.0,33,,1.0,0.9
5544,14/09/2014 21:00,3.7,33,2.8,1.9,3.0
5544,15/09/2014 03:00,3.9,33,,3.5,3.2
5544,15/09/2014 09:00,5.4,33,4.4,6.4,4.6
5544,15/09/2014 15:00,4.9,33,,8.0,5.8
5544,15/09/2014 21:00,6.0,33,5.2,5.9,3.6
5544,16/09/2014 03:00,3.0,33,,1.6,1.2
5544,16/09/2014 09:00,1.1,33,0.8,2.2,1.1
